node,publications,degree
"Valencia-Arboleda, C.V.",1,0
"Marszałek, P.",1,0
"Szarzec, K.",1,0
"Hinson, R.E.",3,0
"Tettey, L.N.",1,0
"Gupta, R.",3,1
"Kukreja, G.",2,1
"Gupta, A.",5,0
"Tyagi, L.",1,0
"Sam, A.K.",1,0
"Grobbelaar, S.S.",1,0
"Pillai, A.",1,0
"Saraswat, V.",1,0
"Vasanthakumary Ramachandran, A.",1,0
"Blekking, J.",1,0
"Giroux, S.",1,0
"Waldman, K.",1,0
"Evans, T.",1,0
"Yang, X.",5,0
"Chan, J.",1,0
"Alqudah, H.",1,0
"Al Natour, A.R.",1,0
"Al-Kofahi, M.",1,0
"Abd Rahman, M.S.A.",1,0
"Abutaber, T.A.",3,1
"Al-Okaily, M.",6,3
Mwanzia Mulili,1,0
B.M.,1,0
"Evans, O.",1,0
"Oni, O.",2,0
"Krijtenburg, F.",2,0
"Willink, M.T.",1,0
"Ameka, F.K.",1,0
"Aflatoun, I.O.",1,0
Ilich,1,0
Thomas,1,0
K.P.,1,0
"Dadzie, C.A.",1,0
"Kwaramba, M.",1,0
"Elliot, E.",2,0
"Trung, N.D.",2,0
"Quynh, N.T.N.",1,0
Elzahi Saaid Ali,1,0
"Kumar, J.",8,2
Anjali,1,0
"Alshehadeh, A.R.",3,0
"Elrefae, G.A.",1,0
"Khudari, M.",1,0
"Injadat, E.",1,0
Kalaj,1,0
E.H.,1,0
"Ghazali, M.S.",2,0
"Peck-Leong, T.P.",1,0
"Alaghbari, Lma",1,0
"Othman, Aha",2,0
"Noor, Abm",1,0
"Ajouz, M.",1,0
"Abuamria, F.",1,0
"Hammad, J.",1,0
"Rhu, N.X.",1,0
"Yian, C.T.",1,0
"Zainol, N.R.",1,0
"Abi, T.",1,0
"Al Mamun, A.",2,0
"Salameh, A.A.",1,0
"Saputri, P.L.",1,0
"Julião, J.",1,0
"Ayllon, T.",1,0
"Gaspar, M.",1,0
Pirjol,1,0
"Rajaiah, J.",1,0
"Majumder, A.",2,0
"Ingale, K.",1,0
"Pasumarti, S.S.",2,0
Jenweeranon,1,0
"Rabbani, M.",1,0
"Khan, S.",5,2
"Muneeza, A.",3,0
"Khaki, A.R.",2,0
"Messaadia, M.",1,0
"Jreisat, A.",1,0
"Almohamad, S.",1,0
"Capretto, M.",1,0
"Ceresa, M.",1,0
"Sánchez, C.",1,0
"Milosavljević, M.",1,0
"Spasenić, Ž.",1,0
"Damnjanović, V.",1,0
"Isaacs, F.",1,0
"Oosterwyk, G.",2,0
"Njuguna, R.",3,0
"Rivett, U.",1,0
"Mendoza-Tello, J.C.",1,0
"Mora, H.",1,0
"Mendoza-Tello, T.",1,0
"Dutta, P.",1,0
