source,target,weight
"Alafeef, M.A.","Alsmadi, A.A.",2
"Pucha-Medina, P.M.","García-Ramos, R.",2
"Pucha-Medina, P.M.","Díaz-Díaz, B.",2
"García-Ramos, R.","Díaz-Díaz, B.",2
"Abdallah, W.","Harraf, A.",2
"Abdallah, W.","Abrar, M.",2
"Harraf, A.","Abrar, M.",2
"Singh, B.","Kaunert, C.",2
"Satpathy, I.","Sahoo, A.P.",2
"Satpathy, I.","Patnaik, A.",2
"Satpathy, I.","Patnaik, B.C.M.",3
"Sharma, S.","Sherraden, M.",2
"Sharma, S.","Goyal, H.R.",2
"Chauhan, S.","Kumar, S.",2
"Chauhan, S.","Indapurkar, K.",2
Alam Siddik,M.N.A.,2
"Hasan, M.","Hoque, A.",3
"Hasan, M.","Abedin, M.Z.",2
"Kazimoto, D.","Baadel, S.",2
"Rajpurohit, S.C.","Kalal, J.",2
"Rajpurohit, S.C.","Parkhi, S.",2
"Kalal, J.","Parkhi, S.",2
"Becha, H.","Kamel, K.",2
"Perdigão, D.","Antunes, F.",2
"Perdigão, D.","Silva, C.",2
"Perdigão, D.","Ribeiro, B.",2
"Antunes, F.","Silva, C.",2
"Antunes, F.","Ribeiro, B.",2
"Silva, C.","Ribeiro, B.",2
"Murinde, V.","Ahmad, A.H.",3
"Iddrisu, K.","Alhassan, F.",2
"Yakubu, I.N.","Adam, I.O.",2
"Yakubu, I.N.","Abdul-Wahab, A.-H.",2
"Yakubu, I.N.","Saani, M.R.",2
"Yakubu, I.N.","Salifu, M.",2
"Adam, I.O.","Seini, A.B.",2
"Adam, I.O.","Alhassan, M.D.",2
"Harahap, Z.I.","Lubis, S.N.",2
"Harahap, Z.I.","Erlina, E.",2
"Harahap, Z.I.","Aritonang, E.Y.",2
"Lubis, S.N.","Erlina, E.",2
"Lubis, S.N.","Aritonang, E.Y.",2
"Erlina, E.","Aritonang, E.Y.",2
Sibindi,A.B.,2
"Sibindi, A.B.","Kiwanuka, A.",2
